LAST NAME,FIRST NAME,EMAIL,ZIPCODE,CITY,STATE,ADDRESS,PHONE
Atkatsh,Katherine,jbll44@jumpstartlab.com,11230,Brooklyn,NY,621 East 19th St.,718 250 000
Sady,Five,ioerecirclesbgin@jumpstartlab.com,11201,Brooklyn,NY,270 Henry St,718 250 000
Boggess,Diane,rjlissa.cameron@jumpstartlab.com,11201,Brooklyn,NY,244 Baltic St.,718 250 000
Whipple,Mari,ayo@jumpstartlab.com,11201,Brooklyn,NY,75 Livingston St. # 22a,718 250 000
Cannon,Adam,vyul0512@jumpstartlab.com,11201,brooklyn,NY,170 Joralemon st,718 250 000
Lansdale,Megan,bwndy_costa@jumpstartlab.com,11231,Brooklyn,NY,365 Degraw St.,718 250 000
Bower,Johanna,otke-soccer@jumpstartlab.com,11211,Brooklyn,NY,705 Driggs Av. # 12,718 250 000
Siegel,Erin,sdkelly@jumpstartlab.com,14564,Victor,NY,1296 Courtney Drive,585-261-0000
Rubin,Page,qmmorrone@jumpstartlab.com,14437,Dansville,NY,11 Seward Street,(585)747-5000
Singer,Josh,qhd1@jumpstartlab.com,14850,Ithaca,NY,201 Maple Avenue Apt. A9A,607-280-6000
Matos,Eric,aindereli@jumpstartlab.com,11374,Rego Park,NY,6449 Ellwell Cres,917-385-8000
Sagastegui,Andrew,yyoud.drake@jumpstartlab.com,13026,Aurora,NY,170 Main Street,0
Irwin,Tabitha,hwvin.goldreich@jumpstartlab.com,13026,Aurora,NY,170 Main Street,0
Nebert,Jennifer,wxinnerm@jumpstartlab.com,13026,Aurora,NY,170 Main Street,0
Cuomo,Caitlin,fvrman11@jumpstartlab.com,13026,Aurora,NY,170 Main St.,0
Kohl-Riggs,Hannah,ouagg_m@jumpstartlab.com,13026,Aurora,NY,170 Main St.,0
Liao,Cherisse,txhagen@jumpstartlab.com,13026,Aurora,NY,170 Main St,0
Robinson,Margie,uwrown3@jumpstartlab.com,13026,Aurora,NY,170 Main St,0
Wendel,Elizabeth,lpseySchall@jumpstartlab.com,13026,Aurora,NY,170 Main St,0
Asthana,Robin,egomor@jumpstartlab.com,13026,Aurora,NY,170 Main St,0
Doe,Brianna,qfrrrrrrrrrrrrrrrrrrrrrrriio@jumpstartlab.com,13026,Aurora,NY,170 Main St.,0
Lemanski,Nelson,nechael.schilero@jumpstartlab.com,13026,Aurora,NY,170 Main St.,0
Robinson,Katie,neeenmm@jumpstartlab.com,13026,Aurora,NY,170 Main St.,0
Johnson-Ulrich,Elizabeth,hhk54@jumpstartlab.com,11201,Brooklyn,NY,100 Remsen St 1D,9144984000
Nelson,Tara,ojephamiller@jumpstartlab.com,14564,Victor,NY,12 SCR Lane,585-766-7000
Campbell,Andrew,aoneskej@jumpstartlab.com,14850,Ithaca,NY,1106 Highland Rd.,607-351-1000
Chaum,Danielle,comes.billman@jumpstartlab.com,14468,Rochester,NY,981 Hilton Parma Rd,585-957-3000
VanWallendael,X,omstin.seher@jumpstartlab.com,14817,Brooktondale,NY,10 Bailor Rd,607-351-7000
Philips,Drucilla,pnystalrae84@jumpstartlab.com,13104,Manlius,NY,4116 Gibbs Rd,315-720-4000
Wright,Hayley,gjndysingasong@jumpstartlab.com,11977,Westhampton,NY,39 Apaucuck Point Road,631-828-9000
Bauer,Angelique,fwminiquemccadden@jumpstartlab.com,12866,Saratoga Springs,NY,101 Bryan Street,518-727-3000
Stonehill,Khalif,rml5269@jumpstartlab.com,11743,Huntington,NY,22 Artisan Avenue,631 327 9000
Cochran,Paymon,ydee.vax@jumpstartlab.com,11050,Port Washington,NY,12 Adams Street,516 528 4000
Durante,Kelly,ao@jumpstartlab.com,10964,Palisades,NY,19 Iroquois Ave,3109024000
Vargas,Laura,bpsticalli88@jumpstartlab.com,13407,Mohawk,NY,1664 St. Rt. 28,3109024000
Harris,Miranda,garthanelle@jumpstartlab.com,13676,Potsdam,NY,29 Pierrepont Ave,3109024000
Burke,Wendi,nanienab@jumpstartlab.com,13326,Cooperstown,NY,389 Fred Ottaway Road,3109024000
Fischer,Sherry,mirupeny@jumpstartlab.com,14618,Rochester,NY,94 Shoreham Dr,3109024000
Riedel,Sean,pg232006@jumpstartlab.com,10804,New Rochelle,NY,95 Aviemore Drive,3109024000
Levin,Robyn,vwofer1@jumpstartlab.com,14006,angola,NY,364 coolidge dr,716-289-1000
Ricks,Ryshelle,xrwidner@jumpstartlab.com,14094,Lockport,NY,Sebatian dr.,716-401-1000
Parren,Keith,thqqqqqqqqqqqqqqqq@jumpstartlab.com,13027,Baldwinsville,NY,7659 Beakman Lane,315-657-3000
Walker,Lauren,dqrvath12@jumpstartlab.com,14094,Lockport,NY,66 McIntosh Drive,716-401-1000
Nolan,Owen,pqn.rudick@jumpstartlab.com,14850,Ithaca,NY,131 Blair St.,607-227-0000
Xx,Sazzad,gb8ah04@jumpstartlab.com,14850,Ithaca,NY,204 Stewart Ave Apt 1,919-475-4000
Holden,Catherine,mallypell@jumpstartlab.com,,Clifton Springs,NY,13 Foster Ave.,585-313-4000
Cossart,Amy,wbmartin@jumpstartlab.com,12972,Peru,NY,44 Haven Lane (P.O. Box 637),518-593-1000
Kauders,Max,erandoniscool@jumpstartlab.com,12019,Ballston Lake,NY,13 Hills Road,5185733000
Edmands,Zoey,gjexandra.sachnoff07@jumpstartlab.com,14469,Bloomfield,NY,Gray Rd,585-613-5000
Scully,Casey,vmhoads@jumpstartlab.com,13068,Freeville,NY,983 West Dryden Rd.,(607)342-1000
Student,Martin,fsebig.4@jumpstartlab.com,10280,New York,NY,377 Rector Place 17B,6469423000
David,Benjamin,gxm22@jumpstartlab.com,14534,Pittsford,NY,510 Thornell Road,585-281-0000
Mcshea,Daniela,ksardy1@jumpstartlab.com,13456,Sauquoit,NY,20 Gridley Place,315-725-2000
Yoon,Matt,tyenderson07@jumpstartlab.com,10974,Sloatsburg,NY,17 Birch Road,8455484000
Hebda,Flora,qfrryboyd@jumpstartlab.com,13026,Aurora,NY,170 Main Street,0
Hill,Heather,bvcoburn88@jumpstartlab.com,13077,homer,NY,101 north main st,607-745-6000
Wiersma,Andrew,tximovi@jumpstartlab.com,10014,New York,NY,668 Greenwich St. Apt. 647,(917) 617-4000
Lucas,Victorio,fjarber@jumpstartlab.com,12309,Niskayuna,NY,2154 Daisy Lane Apt. A,5183814000
Kohli,Evan,xlosheka.chin-tai001@jumpstartlab.com,11231,Brooklyn,NY,"359 Sackett St, #2",2039849000
Siegrest-Jones,Juan,idke8@jumpstartlab.com,11231,Brooklyn,NY,"359 Sackett St, #2",9174558000
Ward,Nina,qbransk9@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 2013,508-479-7000
Fleck,Brian,odseyleighpeterson@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 77,315-854-2000
Siegwald,Michael,iqe0e7s@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 909,508-479-7000
Safran,Jason,nwittany.erb@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 78,508-479-7000
Hernandez,Katie,bgvid.is.Schwartz@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 2121,508-479-7000
Blanton,Danielle,neteym@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 950,603 502 8000
Doe,David,cpl211@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 2013,508-479-7000
Johnson,Karen,ikmudio.andrea@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 1206,508-479-7000
Coffey,Kate,xfmmo1mr@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 2058,315-212-0000
Goch,Philip,hsdossett@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 2378,508-479-7000
Lansdale,Abigail,voeve@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 547,716-867-1000
Jennings,Sarabeth,nldddddddddddd@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 562,508-479-7000
Finn,Jeo,qirn3994@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 266,508-479-7000
Snoblen,Kristen,ahshulman12@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 1089,508-479-7000
Kather,Engin,ijkennedy2@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 213,508-479-7000
Ward,Alexandra,hrrtinanwoga@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 628,508-479-7000
Toombs,Jenna,oqreham@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 387,508-479-7000
Boudart,Samantha,ssff4554@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 458,508-479-7000
Nitta,Kevin,hirah.Bolinger@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 1185,508-479-7000
Martin,Richard,trily_alvarez@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 1316,508-479-7000
Katembo,Gregory,iqison.e.grant@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 1614,508-479-7000
Chan,Shuchee,ljhndoe22@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 2275,508-479-7000
Price,Andrew,sgria.figliola@jumpstartlab.com,13617,Canton,NY,512 Old Route 11,315.276.8000
Reeves,James,unddie@jumpstartlab.com,14063,Rochester,NY,115 Mayfair Dr.,5857521000
Enz,Karly,kew62@jumpstartlab.com,13850,Vestal,NY,4808 Marshall Drive E,6073215000
Dalley,Sara,kdshc@jumpstartlab.com,14424,Canandaigua,NY,5330 Sunflower Drive,585-905-8000
Cusick,LaRae,vucholas.melas@jumpstartlab.com,14532,Phelps,NY,950 South Marbletown Road,5852332000
Cleary-Budge,Brittany,ko7tb02@jumpstartlab.com,11219,Brooklyn,NY,"1312 66th Street, Apt. #3F",917-658-8000
Huhn,PENG,fiorton9@jumpstartlab.com,10510,Briarcliff Manor,NY,1 chestnut hill lane,914-714-3000
Koreshi,Erica,gqh48@jumpstartlab.com,10009,New York,NY,"128 E. 7th Street, 6th Floor",347 538 7000
Growald,Danielle,ibcepaz@jumpstartlab.com,14424,Canandaigua,NY,Lower Egypt Road,15853056000
Kauffman,Brianna,pynsfi34@jumpstartlab.com,10031,New York,NY,640 w. 139th St. Apt#1,646-288-1000
Antelmi,Edwin,srinanl@jumpstartlab.com,13346,Hamilton,NY,,6504552000
Blumenshine,Bryan,geores_jm@jumpstartlab.com,13346,Hamilton,NY,"13 Oak Drive, Box F925",612-481-0000
Sparrow,Sarah,jw9@jumpstartlab.com,13346,Hamilton,NY,,(908)-418-7000
McBroom,Robin,ttkasch@jumpstartlab.com,13346,Hamilton,NY,15 West Pleasant St,315-228-6000
Sen,Marissa,rpm35@jumpstartlab.com,13323,Clinton,NY,,862-222-2000
Kraus,Naomi,xknica.chen@jumpstartlab.com,13346,Hamilton,NY,,612-418-5000
Sullivan,Paul,ms3514a@jumpstartlab.com,13323,Clinton,NY,,(207)899-5000
Gordon,Devika,gicarr@jumpstartlab.com,13323,Clinton,NY,3673 Fountain St,(315)-542-8000
Peters,Daniel,edrmoy78@jumpstartlab.com,13323,Clinton,NY,,315-244-4000
Bookstein,Christopher,aaeisler@jumpstartlab.com,13323,Clinton,NY,,4136875000
Swayman,Sean,ftuliner31@jumpstartlab.com,14850,Ithaca,NY,,518-813-0000
Willis,Nicki,if7xy@jumpstartlab.com,13346,Hamilton,NY,,9084476000
Maurer,Sharon,tyliciateach@jumpstartlab.com,13323,Clinton,NY,,970-420-7000
Scaffa,Kyle,wt7492a@jumpstartlab.com,13346,Hamilton,NY,13 Oak Drive Box F951,3055289000
Bracken,Kristen,hgeman@jumpstartlab.com,14850,Ithaca,NY,"953 Danby Road, Terrace 2 #204",703-338-2000
Dutta,Elaine,ujhowardfoley@jumpstartlab.com,10027,New York,NY,"4914 Lerner Hall, 2920 Broadway",908-723-0000
Robinson,Kevin,nr@jumpstartlab.com,13346,Hamilton,NY,13 Oak Drive,3158255000
Cooke,Tess,xymc92@jumpstartlab.com,13346,Hamilton,NY,13 Oak Drive Box J 1362,415/209/3000
Calvi,Rachel,pnjjkkkkkkkkkkk@jumpstartlab.com,14454,Geneseo,NY,"Box, 2562, 10 MacVittie Circle",518-810-9000
Rosenberg,Julian,yiahlberg@jumpstartlab.com,14454,Geneseo,NY,"Box 2477, 10 MacVittie Circle",315-270-2000
12,James,lcnesene@jumpstartlab.com,14454,Geneseo,NY,"Box 0292, 10 MacVittie Circle",845-216-5000
Wolverton,Ryan,ujofe@jumpstartlab.com,14454,Geneseo,NY,10 MacVittie Circle,914-224-5000
Boehnlein,Steve,djocyonlotor2001@jumpstartlab.com,14454,Geneseo,NY,10 MacVittie Circle,716-250-2000
Dean,Max,bcrantrl@jumpstartlab.com,14454,Geneseo,NY,52 Court St,631-903-2000
Boyd,Bessie,pvdine@jumpstartlab.com,14454,Geneseo,NY,10 MacVttie Circle,716-628-6000
Press,Robert,setiemsaucier@jumpstartlab.com,14454,Geneseo,NY,10 MacVittie Circle,631-965-9000
Erario,Edward,hnwo357@jumpstartlab.com,14454,Geneseo,NY,10 MacVittie Circle,585-298-0000
Joyce,Mary,fseff07438@jumpstartlab.com,14454,Geneseo,NY,20 Court Street,516-233-8000
Allen,Lillian,tds67@jumpstartlab.com,13346,Hamilton,NY,13 Oak Drive L3143,516-459-2000
Leaver,Laura,qsulak@jumpstartlab.com,13346,Hamilton,NY,13 Oak Drive Box F962,6072872000
Delanghe,Ginger,ayne.harket@jumpstartlab.com,13323,Clinton,NY,198 College Hill Rd.,716-440-5000
Bishop,John,dpichard@jumpstartlab.com,13323,Clinton,NY,198 College Hill Road,(908) 528-0000
Gary,Simon,pxzlacoco@jumpstartlab.com,11220,Brooklyn,NY,"436 52nd Street, Apartment 1",718-395-3000
Xx,Bryce,nrl49@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive,508-736-6000
Tazewell,Anna,ddf12@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 921,6038312000
Colon,Paul,klele1aj@jumpstartlab.com,13617,Canton,NY,23 Romoda Dr.,518-225-2000
Kemp,Susan,cferar@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive,508-479-7000
Lambe,Ryan,qf00146650@jumpstartlab.com,13617,Canton,NY,20 Romoda Drive,518-260-0000
Graff,Patricia,at111389@jumpstartlab.com,13346,Hamilton,NY,Colgate University Box Y5558,(360) 481 3000
Yin,Michael,vcicekodama@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive,508-479-7000
Philips,Brenda,cugonding10@jumpstartlab.com,13617,Canton,NY,cmr 1173 SLU 23 Romoda Drive,802-318-3000
Madhavan,Miguel A.,us_les_aime_crazy@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 711,508-479-7000
Cutting,Colin,qbzamorskI@jumpstartlab.com,13323,Clinton,NY,198 College Hill Road Box 169,6096470000
Doe,Brian,wreeney.engr@jumpstartlab.com,,Ithaca,NY,"T2, 211 953 Danby Rd.",540-320-3000
Fowler,Paige,crtsy2289@jumpstartlab.com,14723,Cherry Creek,NY,2051 Ruttenbur Rd,716-785-2000
D'Arcy,Kellyann,vraire.meints@jumpstartlab.com,10940,Middletown,NY,10 Robinn Drive,845-239-3000
Howard-Foley,Stefanie,xedarden@jumpstartlab.com,14850,Ithaca,NY,114 Summit Ave Apt. 41,315-420-7000
Friedman,Kevin,fvnsroek@jumpstartlab.com,14850,Ithaca,NY,1051 Danby Rd,203-808-5000
Doe,Teresa,yakiles@jumpstartlab.com,14850,Ithaca,NY,1020 Danby Rd,7166970000
Hamm,Kiara,tigray@jumpstartlab.com,14850,Ithaca,NY,660 Stewart Ave.,401-225-8000
Shahidi,Johanna,bjol@jumpstartlab.com,14850,Ithaca,NY,204 Stewart Ave.,703-969-1000
Goyer,Shelby,vqinsteinj@jumpstartlab.com,14850,Ithaca,NY,111 Blair St.,703-969-1000
Anderson,Kathryn,aaaruyam@jumpstartlab.com,14850,Ithaca,NY,504 Thurston Ave,703-969-1000
Dunno,Kerry,mxnox@jumpstartlab.com,14850,Ithaca,NY,660 Stewart Ave,n000
Diddams,Katy,bmrichmond@jumpstartlab.com,14850,Ithaca,NY,228 Wait Avenue,412-992-7000
Houtz,Victor,oeistenarnold6@jumpstartlab.com,14850,Ithaca,NY,660 Stewart Ave.,n000
Helferstay,Cindy,tildcatkatie@jumpstartlab.com,14850,Ithaca,NY,660 Stewart Ave.,201-707-7000
Walker,Elisabeth,odch3880@jumpstartlab.com,13346,Hamilton,NY,13 Oak Drive,(330)827-0000
Brown,Jesse,rlte.askins@jumpstartlab.com,14850,Ithaca,NY,101 Country Club Rd. Room 103,607-253-0000
Spitz,Jesse,oalsen@jumpstartlab.com,14853,Ithaca,NY,101 Country Club Rd,201-403-5000
Gwyn,Maria,ttitlin.p.hill@jumpstartlab.com,14850,Ithaca,NY,101 Country Club Rd.,585-355-9000
Menking,Katherine,lwzhao@jumpstartlab.com,14850,Ithaca,NY,101 Country Club Rd.,607-253-0000
Williams,Kate,dqalsh53@jumpstartlab.com,13346,Hamilton,NY,Colgate Box P4306,847 644 5000
Kruger,Nick,bbpinell@jumpstartlab.com,14850,Ithaca,NY,1 Country Club Rd.  Ecology House,512-825-4000
Hudgens,Hugo,nhamayo@jumpstartlab.com,14850,Ithaca,NY,none,704-517-9000
Brehm,Whitney,nie391@jumpstartlab.com,13346,Hamilton,NY,13 Oak Drive B291,4082421000
Jordan,Lana,orlmorea@jumpstartlab.com,14850,Ithaca,NY,105 Grandview Ave,5186514000
Dean,Keith,kc6@jumpstartlab.com,14850,Ithaca,NY,Garden Apt 27 05-7 / 954 Danby Rd,6072870000
Martin,Michael,fsteran@jumpstartlab.com,14850,Ithaca,NY,953 Danby Rd. - Bogart #301,614.582.9000
Dong,Daniel,tstrauss@jumpstartlab.com,12458,Napanoch,NY,94 Campbell Road,8604028000
Gainor,Meredith,vtllj@jumpstartlab.com,11530,Garden City South,NY,166 Kilburn Road South,5169985000
Tuttle,Katie,fukemccaffreysf@jumpstartlab.com,13346,Hamilton,NY,Colgate University L3092,516-849-2000
Spangrud,Arturs,wlube@jumpstartlab.com,11549,Hempstead,NY,Hofstra University,4193413000
Adler,Emily,humeslice1005@jumpstartlab.com,11549,Hempstead,NY,Hofstra University,7044086000
Batista,Rebecca,eorlsonr@jumpstartlab.com,11549,Hempstead,NY,Hofstra University,5164572000
Czerwiec,Quinnie,ooanna@jumpstartlab.com,14627,Rochester,NY,210 Wilson Commons,585-732-2000
Utsch,Megan,edwadswo@jumpstartlab.com,11549,Hempstead,NY,Hofstra University,6318795000
Poland,Lily,ypbattla@jumpstartlab.com,14627,Rochester,NY,201 Wilson Commons,585-732-2000
O'Neill,Ryan,eyseit@jumpstartlab.com,14853,Ithaca,NY,1113 Jameson Hall,2676259000
Guth,Sierra,wkrsenuthill@jumpstartlab.com,11549,Hempstead,NY,Hofstra University,9145883000
Marsh,Khaleelah,moarriage@jumpstartlab.com,11549,Hempstead,NY,Hofstra University,5055709000
Du,X,ywtman@jumpstartlab.com,14627,Rochester,NY,201 Wilson Commons,585-732-2000
Chin-Tai,Jane,ujdavis@jumpstartlab.com,11549,Hempstead,NY,Hofstra University,6316641000
McDougall,Pai,ibodge@jumpstartlab.com,14627,Rochester,NY,201 Wilson Commons,585-732-2000
Yates,Athena,lpp.stephan@jumpstartlab.com,14627,Rochester,NY,201 Wilson Commons,585-732-2000
Xx,Neha,dsinder@jumpstartlab.com,11549,Hempstead,NY,Hofstra University,6037670000
Jaunakais,Audrey,poamilt1@jumpstartlab.com,14627,Rochester,NY,201 Wilson Commons,585-732-2000
Tanaka,Maya,mve2006@jumpstartlab.com,11549,Hempstead,NY,Hofstra University,6033441000
Dungan,Tom,vxuster@jumpstartlab.com,14627,Rochester,NY,201 Wilson Commons,585-732-2000
Murad,Kim,dpl212@jumpstartlab.com,14627,Rochester,NY,201 Wilson Commons,585-732-2000
4,Melissa,wcurman_j@jumpstartlab.com,14627,Rochester,NY,201 Wilson Commons,585-732-2000
Yu,Bartosz,hqpeach@jumpstartlab.com,14627,Rochester,NY,210 Wilson Commons,585-732-2000
Hering,Justin,cbisb014@jumpstartlab.com,14454,Geneseo,NY,Main St,716-868-4000
Haugh,Dave,iesha_leon@jumpstartlab.com,14454,Geneseo,NY,44 Avon Rd,585-576-0000
Hull,Eli,ofichardson86@jumpstartlab.com,14850,Ithaca,NY,416 Hudson Street Apt. 2,503-440-2000
Levene,Elizabeth,wjrunasso@jumpstartlab.com,14850,Ithaca,NY,601 First St,303 653 2000
Zhou,Leah,iqcleery.10@jumpstartlab.com,14850,Ithaca,NY,601 First St,303 653 2000
11,Rose,boerman@jumpstartlab.com,14850,Ithaca,NY,601 First St,303 653 2000
White,John,jlex.vlasic@jumpstartlab.com,14850,Ithaca,NY,601 First St,303 653 2000
Whaley-Tobin,Josie,ra@jumpstartlab.com,14850,Ithaca,NY,601 First St,303 653 2000
Geager,Patrick,skh1@jumpstartlab.com,14850,Ithaca,NY,601 First St,303 653 2000
Koch,Pilar,onbplace@jumpstartlab.com,14850,Ithaca,NY,601 First St,303 653 2000
Kornacki,Claire,nmlly3333@jumpstartlab.com,14850,Ithaca,NY,601 First St,303 653 2000
Hancock,Ethan,qcrighj@jumpstartlab.com,14850,Ithaca,NY,601 First St,303 653 2000
Burgess,Megan,kuiiiiip@jumpstartlab.com,14850,Ithaca,NY,601 First St,303 653 2000
Granovskaya,Harper,vnizabeth.Hanson@jumpstartlab.com,14850,Ithaca,NY,garden apartment 26 5 7 Ithaca College,215 962 3000
Dolstad,John,evff.bessette@jumpstartlab.com,14051,East Amherst,NY,8345 Clarnew Dr.,716-400-1000
Gongwer,Krystin,xqczepanski.amy@jumpstartlab.com,12180,Troy,NY,105B 14th St,347-631-7000
Palley,X,btapstickandbutterflys@jumpstartlab.com,14850,Ithaca,NY,953 Danby Rd. Ithaca College Garden Apartment 5-1,973-270-7000
Consroe,Eliza,otavison@jumpstartlab.com,14853,Ithaca,NY,Townhouse D5B1,972-672-6000
Syndor,Jamie,rmmalley@jumpstartlab.com,10009,New York,NY,204 E 7th St,401-413-2000
Grant,Mary,ogtedtle@jumpstartlab.com,14850,Ithaca,NY,405 W Green St,716-861-9000
Lichti,Rochelle,qpantu1@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR #1090 SLU,802-363-1000
Venegas,John,renielgr@jumpstartlab.com,14850,Ithaca,NY,881 Boswick,607.592.0000
Webster,Matt,rdkroll@jumpstartlab.com,13617,Canton,NY,23 Romoda Dr,802-318-8000
Lang,Allison,ldsonfillo@jumpstartlab.com,13617,Canton,NY,23 Romoda Dr.,716-597-1000
Goodlaw-Morris,Rebecca,bftonehill@jumpstartlab.com,13699,potsdam,NY,10 clarkson ave,(845) 750-1000
Curtis,Mateh,atya@jumpstartlab.com,13699,potsdam,NY,10 clarkson ave,5854690000
Smile,Max,ltbe.schwartzman@jumpstartlab.com,13699,Potsdam,NY,10 Clarkson Ave,2673748000
Wallace,Ian,rylson.ging@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive SLU CMR 1406,508-479-7000
Soper,Meryn,ueofeng@jumpstartlab.com,13699,Potsdam,NY,10 Clarkson Avenue- Box 3870,(631) 965-9000
Metevier,Lindsey,au3771a@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive SLU 1081,508-479-7000
Defrancisco,Matthew,qabjast@jumpstartlab.com,13699,Potsdam,NY,PO Box 3583,(518)322-8000
Copenhaver,John,oteastes@jumpstartlab.com,11731,East Northport,NY,426 5th Street,631-357-6000
Brunton,Sarah,vkrolyn@jumpstartlab.com,5669,Potsdam,NY,10 Clarkson Ave.,(802)839-6000
Berry,Kelly,le5rf04@jumpstartlab.com,13699,Potsdam,NY,10 Clarkson Ave,7169543000
Frye,Rob,xlefat@jumpstartlab.com,13617,Canton,NY,23 Romoda Drive CMR 2013,508-479-7000
Shafman,Nick,ixchelleZimmer@jumpstartlab.com,14850,Ithaca,NY,516 University Ave Apt A5,(518) 322-5000
Moore,I,liiggeneach@jumpstartlab.com,13699,Potsdam,NY,10 Clarkson Ave,5188104000
Brown,Alyse,edernandez09@jumpstartlab.com,13699,Potsdam,NY,10 Clarkson Ave,5188104000
Smith,Rachel,tfe@jumpstartlab.com,14454,Geneseo,NY,"Box 5056, 10 MacVittie Circle",716-462-0000
Harvey,Kyle,ceurafriedman@jumpstartlab.com,13699,Potsdam,NY,10 Clarkson Ave,3153783000
Lamoy,Margaret,gldesha07@jumpstartlab.com,13699,Potsdam,NY,10 Clarkson Ave,7164629000
Shott,Jonathan,lfodine@jumpstartlab.com,13699,Potsdam,NY,10 Clarkson ave,3152610000
Garcia Jr.,Kate,pls6@jumpstartlab.com,14435,Conesus,NY,5531 Cottonwood Drive,631-327-0000
Anderson,Taylor,ngpotter@jumpstartlab.com,13699,Potsdam,NY,10 Clarkson Ave,5182818000
Holak,Sonia,tjlly_martin@jumpstartlab.com,13699,Potsdam,NY,10 Clarkson Ave,3152125000
